index,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Family_Size
1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,38.0,1,0,PC 17599,71.2833,C85,1,1
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,35.0,1,0,113803,53.1,C123,0,1
6,7,0,1,"McCarthy, Mr. Timothy J",1,54.0,0,0,17463,51.8625,E46,0,0
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",0,4.0,1,1,PP 9549,16.7,G6,0,2
11,12,1,1,"Bonnell, Miss. Elizabeth",0,58.0,0,0,113783,26.55,C103,0,0
21,22,1,2,"Beesley, Mr. Lawrence",1,34.0,0,0,248698,13.0,D56,0,0
23,24,1,1,"Sloper, Mr. William Thompson",1,28.0,0,0,113788,35.5,A6,0,0
27,28,0,1,"Fortune, Mr. Charles Alexander",1,19.0,3,2,19950,263.0,C23 C25 C27,0,5
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,49.0,1,0,PC 17572,76.7292,D33,1,1
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",1,65.0,0,1,113509,61.9792,B30,1,1
62,63,0,1,"Harris, Mr. Henry Birkhardt",1,45.0,1,0,36973,83.475,C83,0,1
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",0,29.0,0,0,C.A. 29395,10.5,F33,0,0
75,76,0,3,"Moen, Mr. Sigurd Hansen",1,25.0,0,0,348123,7.65,F G73,0,0
88,89,1,1,"Fortune, Miss. Mabel Helen",0,23.0,3,2,19950,263.0,C23 C25 C27,0,5
92,93,0,1,"Chaffee, Mr. Herbert Fuller",1,46.0,1,0,W.E.P. 5734,61.175,E31,0,1
96,97,0,1,"Goldschmidt, Mr. George B",1,71.0,0,0,PC 17754,34.6542,A5,1,0
97,98,1,1,"Greenfield, Mr. William Bertram",1,23.0,0,1,PC 17759,63.3583,D10 D12,1,1
102,103,0,1,"White, Mr. Richard Frasar",1,21.0,0,1,35281,77.2875,D26,0,1
110,111,0,1,"Porter, Mr. Walter Chamberlain",1,47.0,0,0,110465,52.0,C110,0,0
118,119,0,1,"Baxter, Mr. Quigg Edmond",1,24.0,0,1,PC 17558,247.5208,B58 B60,1,1
123,124,1,2,"Webber, Miss. Susan",0,32.5,0,0,27267,13.0,E101,0,0
124,125,0,1,"White, Mr. Percival Wayland",1,54.0,0,1,35281,77.2875,D26,0,1
136,137,1,1,"Newsom, Miss. Helen Monypeny",0,19.0,0,2,11752,26.2833,D47,0,2
137,138,0,1,"Futrelle, Mr. Jacques Heath",1,37.0,1,0,113803,53.1,C123,0,1
139,140,0,1,"Giglio, Mr. Victor",1,24.0,0,0,PC 17593,79.2,B86,1,0
148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,36.5,0,2,230080,26.0,F2,0,2
151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",0,22.0,1,0,113776,66.6,C2,0,1
170,171,0,1,"Van der hoef, Mr. Wyckoff",1,61.0,0,0,111240,33.5,B19,0,0
174,175,0,1,"Smith, Mr. James Clinch",1,56.0,0,0,17764,30.6958,A7,1,0
177,178,0,1,"Isham, Miss. Ann Elizabeth",0,50.0,0,0,PC 17595,28.7125,C49,1,0
183,184,1,2,"Becker, Master. Richard F",1,1.0,2,1,230136,39.0,F4,0,3
193,194,1,2,"Navratil, Master. Michel M",1,3.0,1,1,230080,26.0,F2,0,2
194,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",0,44.0,0,0,PC 17610,27.7208,B4,1,0
195,196,1,1,"Lurette, Miss. Elise",0,58.0,0,0,PC 17569,146.5208,B80,1,0
205,206,0,3,"Strom, Miss. Telma Matilda",0,2.0,0,1,347054,10.4625,G6,0,1
209,210,1,1,"Blank, Mr. Henry",1,40.0,0,0,112277,31.0,A31,1,0
215,216,1,1,"Newell, Miss. Madeleine",0,31.0,1,0,35273,113.275,D36,1,1
218,219,1,1,"Bazzani, Miss. Albina",0,32.0,0,0,11813,76.2917,D15,1,0
224,225,1,1,"Hoyt, Mr. Frederick Maxfield",1,38.0,1,0,19943,90.0,C93,0,1
230,231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",0,35.0,1,0,36973,83.475,C83,0,1
245,246,0,1,"Minahan, Dr. William Edward",1,44.0,2,0,19928,90.0,C78,2,2
248,249,1,1,"Beckwith, Mr. Richard Leonard",1,37.0,1,1,11751,52.5542,D35,0,2
251,252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,29.0,1,1,347054,10.4625,G6,0,2
252,253,0,1,"Stead, Mr. William Thomas",1,62.0,0,0,113514,26.55,C87,0,0
257,258,1,1,"Cherry, Miss. Gladys",0,30.0,0,0,110152,86.5,B77,0,0
262,263,0,1,"Taussig, Mr. Emil",1,52.0,1,1,110413,79.65,E67,0,2
263,264,0,1,"Harrison, Mr. William",1,40.0,0,0,112059,0.0,B94,0,0
268,269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",0,58.0,0,1,PC 17582,153.4625,C125,0,1
269,270,1,1,"Bissette, Miss. Amelia",0,35.0,0,0,PC 17760,135.6333,C99,0,0
273,274,0,1,"Natsch, Mr. Charles H",1,37.0,0,1,PC 17596,29.7,C118,1,1
275,276,1,1,"Andrews, Miss. Kornelia Theodosia",0,63.0,1,0,13502,77.9583,D7,0,1
291,292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",0,19.0,1,0,11967,91.0792,B49,1,1
292,293,0,2,"Levy, Mr. Rene Jacques",1,36.0,0,0,SC/Paris 2163,12.875,D,1,0
297,298,0,1,"Allison, Miss. Helen Loraine",0,2.0,1,2,113781,151.55,C22 C26,0,3
